0,0.5,2,0.316051
0,0.5,4,0.314762
0,0.5,8,0.312803
0,1,2,0.548059
0,1,4,0.552559
0,1,8,0.549283
0.111111,0.5,2,0.20494
0.111111,0.5,4,0.205404
0.111111,0.5,8,0.20481
0.111111,1,2,0.436948
0.111111,1,4,0.442796
0.111111,1,8,0.441561
0.222222,0.5,2,0.095887
0.222222,0.5,4,0.0964757
0.222222,0.5,8,0.0964092
0.222222,1,2,0.325837
0.222222,1,4,0.331981
0.222222,1,8,0.331752
0.333333,0.5,2,0.0285188
0.333333,0.5,4,0.0294851
0.333333,0.5,8,0.0294467
0.333333,1,2,0.214726
0.333333,1,4,0.220985
0.333333,1,8,0.22122
0.444444,0.5,2,0.00193415
0.444444,0.5,4,0.00255354
0.444444,0.5,8,0.00261018
0.444444,1,2,0.108167
0.444444,1,4,0.115614
0.444444,1,8,0.115967
0.555556,0.5,2,-6.96075e-10
0.555556,0.5,4,-6.06848e-10
0.555556,0.5,8,-5.96694e-10
0.555556,1,2,0.0376865
0.555556,1,4,0.0462692
0.555556,1,8,0.0467741
0.666667,0.5,2,-1.80719e-09
0.666667,0.5,4,-1.71796e-09
0.666667,0.5,8,-1.70781e-09
0.666667,1,2,0.00405732
0.666667,1,4,0.0100476
0.666667,1,8,0.010541
0.777778,0.5,2,-2.9183e-09
0.777778,0.5,4,-2.82907e-09
0.777778,0.5,8,-2.81892e-09
0.777778,1,2,-5.63788e-10
0.777778,1,4,-6.21484e-11
0.777778,1,8,-1.70044e-11
0.888889,0.5,2,-4.02941e-09
0.888889,0.5,4,-3.94018e-09
0.888889,0.5,8,-3.93003e-09
0.888889,1,2,-1.6749e-09
0.888889,1,4,-1.17326e-09
0.888889,1,8,-1.12812e-09
1,0.5,2,-5.14052e-09
1,0.5,4,-5.05129e-09
1,0.5,8,-5.04114e-09
1,1,2,-2.78601e-09
1,1,4,-2.28437e-09
1,1,8,-2.23923e-09
